Video Title,Channel,View Count,Comment Count
Gadar 2 Teaser | In Cinemas 11th August | Sunny Deol | Ameesha Patel | Anil Sharma | Zee Studios,Zee Studios,22046725,38162
Every Indian College | Ft. Indian Hostels & Students,NOT YOUR TYPE,2940699,16922
"Prema Parikhyare Prathama Heli -Rupa,Pintu,udit Narayan,Ira Mohanty,Japani Bhai,NewVideo-ArmaanMusic",Armaan Music,406165,2185
Kadhal 2 Kailasa Episode - 4 | Love Series | K2K | Micset,Mic Set,450645,1139
Mujhe Pyaar Hua Tha Ep 25 |Digitally Presented by Surf Excel & Glow & Lovely (Eng Sub)12th June 2023,ARY Digital HD,6667118,6508
Class 11th Barbaad !! Fir Bhi Bana NEET 2023 TOPPER 🫡  AIR 59 - Vaibhav || Scored 710 Marks ⚡,Physics Wallah - Alakh Pandey,1089024,2660
NEET 2023 Results 🚀 || 7 Students SCORED 700+ Marks !! 🔥 Physics Wallah,Physics Wallah - Alakh Pandey,673000,856
Backbenchers - College Life | Final Episode | Part - 2| Dorasai Teja | VarshaDsouza | InfinitumMedia,Tej India,3113885,8365
"#Video - चल चल (Chal Chal) | #Pawan Singh, #Dimpal Singh | #Shivani Singh | Bhojpuri Song 2023 | GMJ",GMJ - Global Music Junction - Bhojpuri,4480908,26209
Finally New Car Ki Delivery Leli | New Car REVEAL,Dimple Malhan Vlogs,1956562,3873
